"","sexe","situation","the","cafe","taille","poids","age","viande","poisson","fruit_crus","fruit_legume_cuits","chocol","matgras"
"1","Femme","Vit seul",0,0,"151",58,72,"4/6 1 fois/sem","2/3 fois/sem","<1 fois/sem","4/6 1 fois/sem","Tous les jours","Isio4"
"2","Femme","Vit seul",1,1,"162",60,68,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"3","Femme","Vit seul",0,4,"162",75,78,"2/3 fois/sem","<1 fois/sem","Tous les jours","1 fois/sem","Tous les jours","Tournesol"
"4","Femme","Vit seul",0,0,"154",45,91,"Jamais","4/6 1 fois/sem","4/6 1 fois/sem","Jamais","2/3 fois/sem","Margarine"
"5","Femme","Vit seul",2,1,"154",50,65,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Margarine"
"6","Femme","Vit seul",2,0,"159",66,82,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"7","Femme","Vit seul",2,0,"160",66,74,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Isio4"
"8","Femme","Vit seul",0,2,"163",66,73,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Isio4"
"9","Femme","Vit seul",0,3,"154",60,89,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Isio4"
"10","Femme","Vit seul",0,2,"160",77,87,"1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Jamais","Arachide"
"11","Femme","Vit seul",0,2,"175",68,91,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Arachide"
"12","Femme","Vit seul",2,0,"165",75,81,"Tous les jours","1 fois/sem","1 fois/sem","2/3 fois/sem","Jamais","Isio4"
"13","Femme","Vit seul",0,3,"158",53,89,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"14","Femme","Vit seul",2,0,"155",63,79,"2/3 fois/sem","<1 fois/sem","Tous les jours","2/3 fois/sem","1 fois/sem","Tournesol"
"15","Femme","Vit seul",0,2,"154",80,83,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"16","Homme","Vit seul",0,3,"166",80,78,"Tous les jours","Jamais","Tous les jours","2/3 fois/sem","Jamais","Tournesol"
"17","Femme","Vit seul",0,2,"159",57,74,"2/3 fois/sem","1 fois/sem","Tous les jours","2/3 fois/sem","<1 fois/sem","Tournesol"
"18","Femme","Vit seul",0,2,"157",55,74,"2/3 fois/sem","1 fois/sem","Tous les jours","Tous les jours","1 fois/sem","Arachide"
"19","Homme","Vit seul",0,1,"165",57,78,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"20","Femme","Vit seul",0,0,"156",90,78,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","1 fois/sem","Tournesol"
"21","Homme","Vit en couple",0,1,"175",90,73,"Tous les jours","<1 fois/sem","Tous les jours","2/3 fois/sem","1 fois/sem","Canard ou oie"
"22","Femme","Vit en couple",2,2,"161",68,76,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Beurre"
"23","Homme","Vit en couple",2,2,"168",83,85,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Beurre"
"24","Homme","Vit seul",0,4,"168",90,73,"2/3 fois/sem","1 fois/sem","4/6 1 fois/sem","Tous les jours","Jamais","Arachide"
"25","Femme","Vit en couple",3,1,"156",56,77,"2/3 fois/sem","1 fois/sem","Tous les jours","2/3 fois/sem","Jamais","Tournesol"
"26","Homme","Vit en couple",3,2,"170",70,74,"2/3 fois/sem","1 fois/sem","Tous les jours","2/3 fois/sem","Jamais","Tournesol"
"27","Femme","Vit seul",0,0,"162",58,67,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Arachide"
