GSE21749_P_WT_1 GSE21749_P_WT_2 GSE4193_P_WT_1b GSE4193_P_WT_2 GSE21749_R_WT_1 GSE21749_R_WT_2 GSE4193_R_WT_1 GSE4193_R_WT_2
plcz1 5.79741051750013 5.72741459985915 6.52994312508432 5.92045309017814 11.3078779951201 11.3630209410598 11.5875804214029 11.4782628780188
spam1 6.61095008354142 5.9549756427626 6.46684681900969 5.96605885280497 11.7018090680603 11.7224833197966 11.34695855548 11.3867148206822
adam25 5.27921611579052 4.96553377865235 5.42246706538196 5.00343270718533 10.4019270468324 10.2115664370794 10.793444640677 10.2572725625333
fam47c 5.72484663413893 5.06268003435224 5.64610867217169 5.25451818781734 10.8256068432877 10.9142454866174 10.4923214298064 10.3331664145152
tex33 7.92942890673333 6.9239762857292 7.88576333933251 7.11821710823141 12.6760086379691 12.2957155732709 13.1072862231253 12.839283572504
spaca7 7.27236931232905 6.75194712554113 6.59113545231654 6.32810823199782 12.1366955075756 11.9700802659942 11.6500629944916 11.6148169898145
pdilt 6.79177736795471 6.3170021763035 7.08900848759625 6.41959863922948 11.680876423736 11.6276720423732 11.6992442946805 11.2881523303686
ai507597 7.72012059110055 6.87832884936427 7.3124954950416 6.97888585355449 12.2704758660862 12.1276948196956 12.2724707086056 12.1036880878026
eqtn 7.26578015675412 6.36762863420481 6.91092608365715 6.20426684222111 11.6882195199073 11.766072447515 11.4975600371851 11.7635953769533
spata9 7.62422801730678 7.02257125710085 6.95510322411044 6.47302001992384 12.2957386766568 12.2315283002256 11.5785028917182 11.8003282732706
cypt12 8.88298057399026 8.18294271826744 8.06315244082272 7.64316133189953 13.1806438258656 13.0343651098693 12.380755656163 13.0488711882194
pkib 7.82098669222359 7.00476695340497 6.50901212545036 6.04066777394043 12.1113646496473 11.9589553378223 11.0081851287495 11.7003717471364
kcne3 7.21105757204747 6.37006622904233 6.82635664133767 6.1269590807194 12.1614816277715 12.0416839457868 11.396459710391 11.4304175975725
gm10921 7.59098413713412 7.0217933857969 8.19341769390425 6.54431417818104 12.223097909835 12.3015708289154 12.5324470203631 12.3585613563554
g6pd2 4.49498610578557 4.80751712635813 5.05189668362293 4.70084111723756 9.68399949441756 9.6449463226666 9.65072596327928 8.90175546883777
dnajb7 7.58167398441474 6.7663396148664 7.21752260387285 6.82398575110778 12.204862463152 12.3313421103389 11.7185210354 11.8780788217126
aldoart1 7.15219117952725 6.71430615758596 6.84020725308626 6.19337664544084 11.6681623980566 11.6525669611794 11.6243249795753 11.4937721939761
